Startup,One liner,Website,Country,LinkedIn,Founded,Funding $m,Funding stage,Climate category,Climate subcategories,Stage,Investors,Team 1 Name,Team 1 LinkedIn,Team 1 Title,Team 2 Name,Team 2 LinkedIn,Team 2 Title,Team 3 Name,Team 3 LinkedIn,Team 3 Title,Team 4 Name,Team 4 LinkedIn,Team 4 Title,Team 5 Name,Team 5 LinkedIn,Team 5 Title,Team 6 Name,Team 6 LinkedIn,Team 6 Title
Cropway,"SaaS-based AgTech platform enhancing productivity and profitability through data-driven decisions and a sustainable, digitally traceable supply chain.",https://www.cropway.com,India,https://www.linkedin.com/company/cropway/,2021,,Seed,Food & land use,Crop yield,Pilot,,Manjusha Parial,https://www.linkedin.com/in/manjusha-parial-16a6b316/,Director and CEO,Rituparna Parial,https://www.linkedin.com/in/rituparna-parial-325980121/,Director and CTO,,,,,,,,,,,,
Stellapps,Innovates dairy farming with IoT solutions.,https://www.stellapps.com,India,https://www.linkedin.com/company/stellapps-technologies-private-limited/,2011,65,Series C and Beyond,Food & land use,Livestock,Scale-up,"Blume Ventures, Blue Avsha Capital, Omnivore, Celesta Capital, 500 Global",Ravishankar Shiroor,https://www.linkedin.com/in/shiroor/,Co-founder and COO,Ranjith Mukundan,https://www.linkedin.com/in/ranjithmukundan/?originalSubdomain=in,Co-founder and CEO,,,,,,,,,,,,
Veggie Champ,Offering a range of plant-based meat products for the Indian market.,https://www.veggiechamp.in,India,https://www.linkedin.com/in/veggie-champ-790b3b23a/,2008,,Pre-Seed,Food & land use,Alternative foods,Scale-up,,Yasmin Ahmad Jadwani,,,Harish Jadwani,https://www.linkedin.com/in/harish-jadwani-59493013a/,,,,,,,,,,,,,
Krishitantra,Leveraging data to enhance soil health and promote sustainable agricultural practices.,https://krishitantra.com,India,https://www.linkedin.com/company/krishitantra/,2017,1.18,Seed,Food & land use,Crop yield,Launch,"Omnivore, NABVentures",Sandeep Kondaji,https://www.linkedin.com/in/sandeepkondaji/,Founder and CEO,,,,,,,,,,,,,,,
Polycyl,Converts plastic waste into high-value chemicals via advanced recycling technology.,https://polycycl.com,India,https://www.linkedin.com/company/polycycl/about/,2016,1.25,Seed,Industry,"Waste & recycling, Chemicals & plastics",Pilot,"Re Sustainability, The Incubation Network",Hari Malhotra,https://www.linkedin.com/in/hari-malhotra-a6006277/,Chief Financial Officer,,,,,,,,,,,,,,,
Lithion Power,Offers battery swapping and management solutions for electric vehicles.,https://lithionpower.com,India,https://www.linkedin.com/company/lithion/,2016,1.06,Pre-Seed,Transportation,"EV charging / fleet management, Batteries",Pilot,"The Center of Excellence for IoT India (NASSCOM), The Center of Excellence for IoT India",Piyush Gupta,https://www.linkedin.com/in/guptapiyushp/,CEO,,,,,,,,,,,,,,,
TGP Bioplastics,Manufactures biodegradable plastic granules for retail packaging using starch-based materials.,https://www.tgpbio.com,India,https://www.linkedin.com/company/tgpbioplastics/,2018,,Pre-Seed,Industry,"Chemicals & plastics, Packaging",Prototype,,Tejas Zagade,https://www.linkedin.com/in/tejas-zagade-706147154/,Co-founder and CTO,Karan Chavan,https://www.linkedin.com/in/kschavan/,Co-founder and CEO,Indrajeet Nikam,https://www.linkedin.com/in/icnikam/,Co-founder and Director,,,,,,,,,
Vezlay,Offering plant-based meat products inspired by Indian flavors.,https://vezlay.com,India,https://www.linkedin.com/company/vezlay/,2006,,Pre-Seed,Food & land use,Alternative foods,Scale-up,,Amit Bajaj,,Managing Director,,,,,,,,,,,,,,,
Log9 Materials,Develops advanced battery technologies with a focus on fast-charging and long-lasting batteries.,https://www.log9materials.com,India,https://www.linkedin.com/company/log9materials/,2015,56.12,Series A,Transportation,Batteries,Scale-up,"ImpactAssets, Twin Towers Ventures, Anicut Capital",Akshay Singhal,https://www.linkedin.com/in/akshayvsinghal/?originalsubdomain=in,Founder and CEO,,,,,,,,,,,,,,,
ProPlant,Plant-based egg and tofu.,,India,https://www.linkedin.com/company/proplant-india/about/,2022,,,Food & land use,Alternative foods,Prototype,,Kartikey Bhardwajk,,Founder,,,,,,,,,,,,,,,
EVage Motors,Manufactures electric delivery vehicles designed to revolutionize the logistics industry with sustainable and cost-effective electric solutions.,https://www.evagemotors.com,India,https://www.linkedin.com/company/evage-motors/,2014,32.8,Seed,Transportation,"Autos, EV charging / fleet management",,"Maniv, Onnivation, Bio D Technology, RedBlue",Inderveer Singh Panesar,https://www.linkedin.com/in/inderveer-singh-panesar-2a01925/,CEO,Harnoor Kaur,https://www.linkedin.com/in/harnoor-kaur-97183a18/,Co-founder and COO,Pulkit Srivastava,https://www.linkedin.com/in/pulkit-srivastava-b1b63b5/,Co-Founder,,,,,,,,,
Craste,Produces India's first 100% tree-free E0 certified engineered boards for sustainability.,https://craste.co,India,https://www.linkedin.com/company/craste/,2018,0.12,Pre-Seed,Industry,Waste & recycling,Launch,Techstars,Himansha Singh,https://www.linkedin.com/in/himansha-singh-74651b38/?originalSubdomain=in,Co-Founder,Subham Singh,https://www.linkedin.com/in/shubhamsingh91/,Co-Founder and CEO,,,,,,,,,,,,
Mister Veg,Specializing in plant-based meat alternatives for a healthier lifestyle.,https://www.misterveg.com,India,https://www.linkedin.com/company/mister-veg/,2018,0.57,Seed,Food & land use,Alternative foods,Scale-up,Jubilant Ingrevia,Simarjeet Singh,https://www.linkedin.com/in/simarjeet-singh-456772197/,Founder,,,,,,,,,,,,,,,
1010 Solutions (Liquid Trees),Keeping the planet cool with Diatoms.,https://liquidtrees.org,India,https://www.linkedin.com/company/liquidtrees/posts/?feedView=all,2021,,Seed,Carbon,Carbon capture & storage,R&D,"Unruly Capital, Aleka Capital",Larry Roseberry,https://www.linkedin.com/in/larry-roseberry-0a040416/,CEO,Daniel N.,https://www.linkedin.com/in/neetzel/,Founder,,,,,,,,,,,,
Kinetic Green,Electric vehicles intended to bring affordable green mobility services.,https://kineticgreen.com,India,https://www.linkedin.com/company/kinetic-green/,2011,40.6,Series A,Transportation,"Micromobility, Batteries",Scale-up,Greater Pacific Capital,Rajesh Khatri,https://www.linkedin.com/in/ca-rajesh-khatri-a7126618/,CFO,Sulajja Motwani,https://www.linkedin.com/in/sulajja-firodia-motwani-b20364193/,Founder and CEO,Divya Raj,https://www.linkedin.com/in/divya-raj-a80b505/,CSO,,,,,,,,,
GreenPod Labs,Develops bioactive packaging solutions to extend the shelf life of fruits and vegetables.,https://greenpodlabs.com,India,https://www.linkedin.com/company/greenpod-labs/?originalSubdomain=in,2019,0.6,Pre-Series A,Food & land use,Food waste,Prototype,Indian Angel Network,Vijay Anand,https://www.linkedin.com/in/vijayraos/,Co-founder and CEO,Deepak Rajmohan,https://www.linkedin.com/in/deepakrajmohan/?originalSubdomain=in,Co-founder,,,,,,,,,,,,
Naka Foods,Crafting plant-based snack bars designed for optimal nutrition and taste.,https://4pmbar.com,India,https://www.linkedin.com/company/n%C4%81ka-foods-pvt-ltd/,2016,0.08,Pre-Seed,Food & land use,Alternative foods,R&D,"Humane Entrepreneurship Program, International Centre for Entrepreneurship and Technology, BRINC",Kushal Aradhya,https://www.linkedin.com/in/kushal-aradhya-r-9b20341a/,CEO and Founder,,,,,,,,,,,,,,,
Evera,Offers eco-friendly cab services powered by electric vehicles.,https://www.everacabs.com,India,,2019,7.14,Seed,"Transportation, Carbon","EV charging / fleet management, Micromobility, Carbon removal",Scale-up,"Devonshire Capital, Westova Capital",,,,,,,,,,,,,,,,,,
Serentica Renewables,Delivers renewable energy solutions to pave the way for a greener future.,https://www.serenticaglobal.com,India,https://www.linkedin.com/company/serenticaglobal/,2022,1750,Series C and Beyond,Energy,"Solar, Energy storage, Renewables development",Scale-up,Kohlberg Kravis Roberts (KKR),Akshay Hiranandani,https://www.linkedin.com/in/akshay-hiranandani-82a1b7b/,CEO,Pratik Agarwal,https://www.linkedin.com/in/pratik-agarwal-b6278b2/,Chairman,,,,,,,,,,,,
Electra EV,"A company providing electric powertrain solutions, including batteries and drivetrains, for electric vehicles.",https://electraev.com,India,https://www.linkedin.com/company/electraev/,2017,25,Series B,Transportation,Batteries,Scale-up,GEF Capital Partners,Samir Yajnik,https://www.linkedin.com/in/samir-yajnik-47514a17/,CEO and Executive Director,,,,,,,,,,,,,,,
White Cub,Offering dairy-free ice creams that are vegan and allergen-friendly.,https://whitecub.in,India,https://www.linkedin.com/company/whitecub-india/,2012,0.265,Seed,Food & land use,Alternative foods,Scale-up,Unovis Asset Management,Sonal Dhriiti,https://www.linkedin.com/in/sonal-white-cub-9364387/?originalSubdomain=in,CEO and Founder,,,,,,,,,,,,,,,
Slicc,"Innovator in sustainable, plant-based food packaging solutions.",https://slicc.in,India,https://www.linkedin.com/company/sliccindia/,2021,,Pre-Seed,Food & land use,Alternative foods,,,Namrata Doshi,https://www.linkedin.com/in/namrata-doshi-73280b164/,Founder,,,,,,,,,,,,,,,
Cell Propulsion,"A company focused on electric mobility solutions for commercial vehicles, including battery packs and fleet management.",https://cellpropulsion.com,India,https://www.linkedin.com/company/cell-propulsion/?originalSubdomain=in,2016,4.41,Seed,Transportation,"Batteries, EV charging / fleet management, Trucking",Pilot,"Huddle Ventures, GrowX Ventures",Nakul Kukar,https://www.linkedin.com/in/nakulk2/,Cofounder and CEO,,,,,,,,,,,,,,,
Dog First,Plant-based dog food.,,India,,2018,,Pre-Seed,Food & land use,Alternative foods,Pilot,,Sanjay Lalwani,,Founder & CEO,,,,,,,,,,,,,,,
Electrifi Mobility,Full-stack EV asset management and leasing company that helps commercial fleets electrify.,https://electrifimobility.com,India,https://www.linkedin.com/company/electrifi-mobility-pvt-ltd/,2023,3,Seed,Transportation,EV charging / fleet management,Launch,"Alteria Capital, AdvantEdge",Kunal Mundra,https://www.linkedin.com/in/kunal-mundra-b033b246/,Co-founder and CEO,,,,,,,,,,,,,,,
Nate's Indian Bistro,Brand of ADF foods dealing with plant-based meat balls.,http://www.adf-foods.com,India,,2021,,,Food & land use,Alternative foods,,,,,,,,,,,,,,,,,,,,
Ai-Genix,"Invent, design, and develop unique indigenous, patented technologies for crop protection and sustainable farming.",https://www.ai-genix.net,India,https://www.linkedin.com/company/ai-genix-international-pvt-ltd/,2019,0.04,Pre-Seed,Food & land use,"Crop yield, Fertilizer / pesticides",Prototype,Indigram Labs Foundation,Shahnaz Shaikh,https://www.linkedin.com/in/shahnaz-s-856a86a0/,Co-founder and CEO,Khalil Shaikh,https://www.linkedin.com/in/khalil-shaikh-883b285/,Co-founder and CTO,,,,,,,,,,,,
Kabira Mobility,"Produces high-speed electric motorcycles and scooters to provide eco-friendly, performance-oriented alternatives to traditional petrol vehicles.",https://www.kabiramobility.com,India,https://www.linkedin.com/company/kabira-mobility/,2017,49.7,Series A,Transportation,"Autos, Micromobility",,Al Abdulla Group,Jaibir Siwach,https://www.linkedin.com/in/jaibir-das/,CEO and Founder,Akash Siwach,https://www.linkedin.com/in/akash-siwach/,Senior Product Development Engineer,,,,,,,,,,,,
Voltanova,"State-of-the-art battery energy storage system (BESS) that delivers reliable, sustainable industrial energy at just 1/5th the cost of current alternatives.",,India,https://www.linkedin.com/company/voltanova/,2024,,Angel,Energy,Batteries,R&D,,Jaicky Kumar,https://www.linkedin.com/in/jaickykumar/,Co-founder and CEO,,,,,,,,,,,,,,,
Terramatter,CO2 protein for human and animal feed.,https://terramatter.earth,India,https://www.linkedin.com/company/terramatter-earth/?originalSubdomain=in,2022,,Pre-Seed,Food & land use,Alternative foods,R&D,,Shriyansh Sonawane,https://www.linkedin.com/in/shriyanshsonawane/,Founder and CEO,,,,,,,,,,,,,,,
MealTech,Foodtech company creating nutritionally optimized meal solutions.,https://mealtech.in,India,,2022,,Pre-Seed,Food & land use,Alternative foods,R&D,,Bindu Mahesh,linkedin.com/in/bindu-mahesh-ph-d-b2437317,,Kadalmani Krishnan,,,,,,,,,,,,,,
Oizom,Environmental monitoring solutions for air quality management.,https://oizom.com,India,https://www.linkedin.com/company/oizom-instruments/,2015,0.26,Pre-Seed,Climate management,"Earth observation, Emissions reporting",Pilot,"Accenture Sustainability Value Accelerator, IIMA Ventures, Zone Startups India",Ankit Vyas,https://www.linkedin.com/in/axnkit/,Co-founder,,,,,,,,,,,,,,,
Euler Motors,Sustainable last mile transport through light electric commercial vehicles.,https://www.eulermotors.com,India,https://www.linkedin.com/company/eulermotors/,2018,166,Series C and Beyond,Transportation,EV charging / fleet management,Scale-up,"British International Investment, Blume Ventures, Moglix, ADB Ventures, Hero MotoCorp",Saurav Kumar,https://www.linkedin.com/in/sauravkumar/,Co-founder and CEO,,,,,,,,,,,,,,,
Kazam,EV charging network and software platform to enhance the accessibility and management of EV charging infrastructure.,https://www.kazam.in,India,https://www.linkedin.com/company/kazam-ev/,2020,13,Series A,Transportation,EV charging / fleet management,Scale-up,"Avaana Capital, Inflection Point Venture, Alteria Capital",Akshay Shekhar,https://www.linkedin.com/in/akshayshekhar/?originalSubdomain=in,Co-founder and CEO,,,,,,,,,,,,,,,
CanvaLoop,Turning agricultural waste into high-quality textile fibers using proprietary low-impact technology to promote sustainability in the textile industry.,https://www.canvaloop.com,India,https://www.linkedin.com/company/canvaloop/,2020,0.5,Pre-Seed,Industry,"Textiles, Waste & recycling",Pilot,"Social Alpha, Theia Ventures",Shreyans Kokra,https://www.linkedin.com/in/shreyanskokra/,Co-founder and CEO,Nandini Kokra,https://www.linkedin.com/in/nandini-kokra-4073a5158/,Director Of Marketing And Public Relations,,,,,,,,,,,,
climateXcapital,Reduce time spent raising climate capital.,https://www.climatexcapital.com,India,https://www.linkedin.com/company/climatexcapital/,2022,,,Climate management,Sustainable finance,Pilot,"MVPRockets, I-Venture @ ISB",Johann Fernandes,https://www.linkedin.com/in/johann-fernandes-712385aa/,Co-Founder,Prajakta Kuwalekar,https://www.linkedin.com/in/prajaktakuwalekar/,Director,,,,,,,,,,,,
Apeiro Energy,Developing patent pending wind turbines for microgrid scale energy generation.,https://apeiroenergy.com,India,https://www.linkedin.com/company/apeiro-energy/,2021,,Seed,Energy,"Solar, Grid management, DERs - Distributed energy resources",Prototype,"IIM Udaipur (IIMU) Incubation Center, International Centre of Entrepreneurship and Technology (icreate), IIT Mandi Catalyst",Kalpit Prajapati,https://www.linkedin.com/in/kalpit-prajapati-apeiro-energy/,Co-Founder & CEO,Prakhar Yadav,https://www.linkedin.com/in/prakhr29/,Co-Founder & COO,Puru Kumar,https://www.linkedin.com/in/puru-kumar-93405615a/,Co-Founder and CTO,,,,,,,,,
Base'P Sustainable Foods,Textured vegetable protein using traditional fermentation and AI.,https://basepfoods.com,India,https://www.linkedin.com/company/base-p-sustainable-foods/about/,2022,,,Food & land use,Alternative foods,R&D,,Swati Gopalakrishnan,https://www.linkedin.com/in/swathi-gopalakrishnan-701742155/,Founder,,,,,,,,,,,,,,,
Aerem,Full-stack financing solution for rooftop solar systems.,https://www.aerem.co,India,https://www.linkedin.com/company/aeremofficial/,2021,8.2,Pre-Series A,Energy,Solar,Scale-up,"Blume Ventures, Avaana Capital",Vikesh Agrawal,https://www.linkedin.com/in/vikesh-agrawal-50959413/?originalSubdomain=in,Director,Anand Jain,https://www.linkedin.com/in/jainanand/?originalSubdomain=in,Founder and CEO,,,,,,,,,,,,
Cropin,"Offers a suite of digital technologies including sensors, satellite imagery, and AI to help farmers optimize crop yields.",https://www.cropin.com,India,https://www.linkedin.com/company/cropin-technology/?originalSubdomain=in,2010,45.6,Series C and Beyond,Food & land use,Crop yield,Scale-up,"Chiratae Ventures, ABC Impact, Ankur Capital, Invested Development, CDC Group",Rajesh Jalan,https://www.linkedin.com/in/rajesh-jalan-45b7a0/,CTO,Krishna Kumar,https://www.linkedin.com/in/krishna-kumar-cropin/,Co-founder and CEO,Kunal Prasad,https://www.linkedin.com/in/kunal-prasad-54ab4715/,Co-founder and COO,,,,,,,,,
Loopworm,Insect biotechnology to produce sustainable protein sources for animal and human nutrition.,https://loopworm.in,India,https://www.linkedin.com/company/loopwormbio/,2019,3.4,Pre-Series A,Food & land use,Alternative foods,Launch,"Omnivore, WaterBridge Ventures, Enrission India Capital",Abhi Gawri,https://www.linkedin.com/in/abhigawri/,Co-founder,Ankit Alok Bagaria,https://www.linkedin.com/in/ankitalokbagaria/,Co-founder and CEO,,,,,,,,,,,,
Skymet Weather,"India’s largest weather and climate forecasting, information, and risk management solution company.",https://www.skymetweather.com,India,https://www.linkedin.com/company/skymet/?originalSubdomain=in,2003,12,Series C and Beyond,Climate management,Earth observation,Scale-up,"Omnivore, InsuResilience Investment Fund",Yogesh Patil,https://www.linkedin.com/in/yogeshaarya/?originalSubdomain=in,CEO,Jatin Singh,https://www.linkedin.com/in/jatin-singh-skymet/,Founder and CEO,,,,,,,,,,,,
Myoworks,Creating cultivated muscle tissues for sustainable meat production.,https://www.myoworks.in,India,https://www.linkedin.com/company/myoworkspvtltd/about/,2020,0.301,Seed,Food & land use,Alternative foods,R&D,Ankur Capital,Shubhankar Takle,https://www.linkedin.com/in/shubhankar-takle-007a47a9/?originalSubdomain=in,Directors,Nihal Singh,https://www.linkedin.com/in/nihal-singh-887881122?originalSubdomain=in,Co-founder/Director,,,,,,,,,,,,
GreenJoules,Produces biofuels from agricultural waste to replace high-speed diesel.,https://www.greenjoules.in,India,https://www.linkedin.com/company/greenjoules/,2018,4.5,Series A,Food & land use,Food waste,,Startup Haryana,,,,,,,,,,,,,,,,,,
Neat Meatt Biotech,On a mission to revolutionize the way protein is produced by leveraging cutting-edge biotechnology.,https://neatmeatt.in,India,https://www.linkedin.com/company/neat-meatt-biotech-pvt-ltd/,2022,0.36,Pre-Seed,Food & land use,Alternative foods,,,Sandeep Sharma,,Founder,,,,,,,,,,,,,,,
Mooving,A company providing electric vehicle charging solutions and battery management for fleet operations.,https://www.mooving.com,India,https://www.linkedin.com/company/moovingenergynetwork/?originalSubdomain=in,2020,,Pre-Seed,Transportation,"EV charging / fleet management, Batteries",Launch,,Tanvir Singh,https://www.linkedin.com/in/tanvirsinghs/,Co-Founder,Vedant Khanna,https://www.linkedin.com/in/vkhanna3/,Co-founder and Head of Technology & Product,,,,,,,,,,,,
Clear Meat,Innovating cultivated chicken meat for a healthier and sustainable future.,https://www.clearmeat.com,India,https://www.linkedin.com/company/clear-meat/?originalSubdomain=in,2018,0.1602,Seed,Food & land use,Alternative foods,Scale-up,"Artesian, ProVeg Incubator, BRINC, Mistletoe",Siddarth Manvati,https://www.linkedin.com/in/siddharth-manvati/?originalSubdomain=in,CEO and Co-founder,,,,,,,,,,,,,,,
Proeon,Developing high-performance plant protein ingredients for the future of food.,https://proeon.co,India,https://www.linkedin.com/company/proeonfoods/,2018,4.8,Seed,Food & land use,Alternative foods,Scale-up,"Peak Sustainability Ventures, MassChallenge Switzerland, Flowstate Ventures",Ashish Korde,https://www.linkedin.com/in/ashishkorde/,Co-founder,Kevin Parekh,https://www.linkedin.com/in/kevingparekh/,Co-founder,,,,,,,,,,,,
Air OK Technologies,Manufacturer of air filters intended to control pollution in residential as well as industrial environments.,http://airoktech.com,India,https://www.linkedin.com/company/airok-airpurifiers/,2014,1.78,Series A,Built environment,Heating & cooling,Scale-up,"Ncubate Capital Partners, Precog Innovation, IIT Madras Incubation Cell",Deekshith Prasad,https://www.linkedin.com/in/deekshith-airok/,Founder & CEO,Vanam Krishna,https://www.linkedin.com/in/vanamsravankrishna/,Founder & COO,,,,,,,,,,,,
Takachar,Turning crop and forest residues in rural communities into carbon-negative bioproducts.,https://takachar.com,India,https://www.linkedin.com/company/takachar/,2016,,Pre-Seed,"Food & land use, Industry","Waste biomass, Fertilizer / pesticides",Pilot,PepsiCo Greenhouse Collaborative Accelerator,Vidyut Mohan,https://www.linkedin.com/in/vidyutmohan/,Co-founder and CEO,,,,,,,,,,,,,,,
Prot (formerly Seaspire),Innovating protein production using sustainable plant-based ingredients.,https://eatprot.com,India,https://www.linkedin.com/company/eatprot/,2021,,Seed,Food & land use,Alternative foods,R&D,ProVeg Incubator,Varun Gadodia,https://www.linkedin.com/in/varun-gadodia-16946848/,Co-founder,Shantanu Dhangar,https://www.linkedin.com/in/shantanu-dhangar-26346516b/,Co-founder,,,,,,,,,,,,
Cocoabuzzz,Protein beverage made out of cocoa pod husk agri residue.,,India,,0,,,Food & land use,Alternative foods,,,,,,,,,,,,,,,,,,,,
XMACHINES,"AI-driven autonomous robots for enhancing operations in agriculture, manufacturing, and research.",https://www.xmachines.ai,India,https://www.linkedin.com/company/xmachines-ai/,2017,0.1,Pre-Seed,"Food & land use, Industry","Crop yield, Manufacturing",Launch,Dare Ventures,Trivikram Kumar Dogga,https://www.linkedin.com/in/trivikram-kumar-23b85035/,Founder and CEO,Dharmateja Mediboina,https://www.linkedin.com/in/dharmateja-mediboina/,COO,,,,,,,,,,,,
Oatey,Specializing in oat-based beverages and dairy alternatives.,https://oatey.in,India,https://www.linkedin.com/company/oatey/,2021,0.00628,Pre-Seed,Food & land use,Alternative foods,Launch,,Ankush Jamadagni,,Co-founder and CEO,,,,,,,,,,,,,,,
Animall,"Online marketplace for buying and selling cattle, aimed at revolutionizing the dairy farming industry in India.",https://animall.in,India,https://www.linkedin.com/company/animall-in/,2019,23,Series B,Food & land use,Livestock,Scale-up,"Omnivore, Nexus Venture Partners",Neetu Y.,https://www.linkedin.com/in/neetu-yadav/,Co-founder and CEO,Libin V Babu,https://www.linkedin.com/in/libinvbabu/,Co-founder and CEO,,,,,,,,,,,,
SolarSquare Energy,Offers rooftop solar panel solutions for homes and businesses.,https://www.solarsquare.in,India,https://www.linkedin.com/company/solarsquare-energy-private-limited/,2015,15,Series A,Energy,Solar,Launch,"Lowercarbon Capital, Rainmatter Capital",Neeraj Jain,https://www.linkedin.com/in/neerajjain01/,Director,,,,,,,,,,,,,,,
Statiq,Offers a comprehensive network of EV charging stations across India.,https://www.statiq.in,India,https://www.linkedin.com/company/statiqindia/mycompany/,2019,25.7,Series A,Transportation,EV charging / fleet management,Scale-up,"Oyster Ventures, Halo Labs, Emles Venture Partners",Akshit Bansal,https://www.linkedin.com/in/akshit-bansal7/,Founder,,,,,,,,,,,,,,,
Supplant Foods,"Transforming agricultural side streams into sustainable, functional ingredients.",https://www.supplantfoods.com,India,https://www.linkedin.com/company/supplant-foods/,2019,,Pre-Seed,Food & land use,Alternative foods,Scale-up,,Chirag Sabunani,https://www.linkedin.com/in/chiragsabunani/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAABBjfgBq3ZxYwls35Hy61-ItOmsyQPzHRI,Founder,,,,,,,,,,,,,,,
